source_id,title,url,source_class,year,route_section,km_start,km_end,route_match_confidence,evidence_class,access_status,expected_visual_count,subagent_origin,notes,harvest_batch
YV012,UTMB Julian Alps Trail Run by UTMB - 120K - 2025,https://www.youtube.com/watch?v=a6zg81XNoTU,runner YouTube video,2025,120K full route,0,124.5,direct-current-race-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Mendel,High-value 120K recap candidate.,
YV013,Racing the UTMB Julian Alps 124KM Ultra Marathon,https://www.youtube.com/watch?v=yDDUCdrTC90,runner YouTube video,2025,120K full route,0,124.5,direct-current-race-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Mendel,High-value 124K/current route recap candidate.,
YV014,Julian Alps Trail - 120 km,https://www.youtube.com/watch?v=WkSrCvdyol8,runner YouTube video,2025 inferred,120K route,0,124.5,direct-race-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Mendel,Candidate title matches 120 km; year inferred from search context.,
YV015,Julian Apls Trail Run 120km 2024 - relacja z biegu,https://www.youtube.com/watch?v=fQGgwfHjfCk,runner YouTube video,2024,120K full route,0,124.5,direct-previous-year-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Mendel,Polish runner recap; title misspells Alps as Apls.,
YV016,UTMB Julian Alps Trail Run 120km,https://www.youtube.com/watch?v=KctKrtDEEvs,runner YouTube video,2024 inferred,120K short clip,0,124.5,direct-race-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Mendel,Likely short clip; needs frame review.,
YV017,Julian Alps 2021 long GoPro 100-mile film,https://www.youtube.com/watch?v=vKrsG27dNLU,runner YouTube video,2021,older 177K/100M overlap,0,124.5,older-overlap,older runner race video,public YouTube,thumbnail plus video review candidate,Mendel,Older long course; high raw footage value but lower current-route confidence.,
YV018,Best of Ultra Trail Julian Alps 2021 177 km,https://www.youtube.com/watch?v=VROBKxcCjuE,runner YouTube video,2021,older 177K overlap,0,124.5,older-overlap,older runner race video,public YouTube,thumbnail plus video review candidate,Mendel,Older long course; lower current-route confidence.,
YV019,Ultra Sky Trail 108K route review,https://www.youtube.com/watch?v=FMBzNpF6i_s,route review video,2022 inferred,older 108K overlap,44,124.5,older-overlap,local route video context,public YouTube,thumbnail plus video review candidate,Mendel,Older 108K review overlaps mountain/back-half terrain.,
YV020,Julian Alps Trail Run 80KM Slovenia UTMB Race,https://www.youtube.com/watch?v=VDsspZh8n5A,runner YouTube video,2025,80K overlap Bled to finish,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,Mendel,80K overlaps much of current back half.,
YV021,UTMB Julian Alps Trail 80k Race,https://www.youtube.com/watch?v=b8Kw8g_EFI4,runner YouTube video,2025,80K overlap Bled to finish,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,Mendel,80K overlap candidate.,
YV022,Lake Bled 2024 80 km,https://www.youtube.com/watch?v=SxgrzLHiph4,runner YouTube video,2024,80K overlap Bled to finish,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,Mendel,80K overlap candidate.,
YV023,50K JAT Sky Trail,https://www.youtube.com/watch?v=i1c4H1ABdoI,runner YouTube video,2024,50K overlap Žirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,Mendel,50K overlaps later mountain/finish sections.,
YV024,Sky Trail 50K 21.09.2024,https://www.youtube.com/watch?v=ghpxzLq9g4U,runner YouTube video,2024,50K overlap,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,Mendel,50K overlap candidate.,
YV025,Julian Alps 50K Ultra 2025,https://www.youtube.com/watch?v=MSYLRxolrt8,runner YouTube video,2025,50K overlap,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,Mendel,50K overlap candidate.,
YV026,Course Preview: Mokotova Bajta to Dovje,https://www.youtube.com/watch?v=AgqirPvzEpw,course preview video,2025,Mokotova Bajta to Dovje,90,106.2,specific-section-high,course preview video,public YouTube,thumbnail plus video review candidate,Mendel,Specific preview for late Karawanks/descent section; km range estimated.,
YV027,Course Preview: Hotel Spik to Kranjska Gora,https://www.youtube.com/watch?v=YkqtB8JkfBM,course preview video,2025,Hotel Spik / Gozd Martuljek to Kranjska Gora,117,124.5,specific-section-high,course preview video,public YouTube,thumbnail plus video review candidate,Mendel,Specific preview for final approach.,
YV028,Official 2026 trailer,https://www.youtube.com/watch?v=RbN_sJdx450,official YouTube video,2026,promo/course scenic,0,124.5,promo-broad,official promo video context,public YouTube,thumbnail plus video review candidate,Mendel,"Promo/scenic course footage, not race-day evidence.",
YV029,Course Preview: Belca to Hotel Spik,https://www.youtube.com/watch?v=YVi23C13-4s,course preview video,2025,Belca to Hotel Spik / Gozd Martuljek,106,117,specific-section-medium,course preview video,public YouTube,thumbnail plus video review candidate,prior search,Specific preview candidate for late valley transition; route tie needs review.,
YV030,Julian Alps by UTMB 124km 2025,https://www.youtube.com/watch?v=OuF__qAVuuI,runner YouTube video,2025,124K full route,0,124.5,direct-current-race-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Dirac,Additional 2025 full-route race VLOG found in adversarial video pass; likely includes late course but timestamps not yet frame-audited.,
YV031,Julian Alps Trail Run by UTMB 2025 Completo,https://www.youtube.com/watch?v=CxRJuWbXFH4,runner YouTube video,2025,125K/6000m full route,0,124.5,direct-current-race-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Dirac,Additional full-route 2025 recap candidate; timestamps not yet frame-audited.,
YV032,"Golica, HPD Runolist, 6-2025",https://www.youtube.com/watch?v=I6yQJIwF_MY,route-adjacent YouTube video,2025,Golica ridge / Sedlo Suha context,89,91,adjacent-context-medium,route-adjacent video context,public YouTube,thumbnail plus video review candidate,Dirac,Description reportedly mentions Golica ridge to Sedlo Suha; use as adjacent terrain context until frame-audited.,
YV033,Gozd Martuljek Srednji vrh,https://www.youtube.com/watch?v=nXqoqSLyZDs,route-adjacent YouTube video,unknown,Gozd Martuljek to Srednji Vrh,117,121,adjacent-route-medium-high,route-adjacent video context,public YouTube,thumbnail plus video review candidate,Dirac,Route-adjacent climb footage candidate for the final Gozd Martuljek/Srednji Vrh section.,
YV034,Srednji vrh iz Gozd Martuljka,https://www.youtube.com/watch?v=308xlDG88og,route-adjacent YouTube video,unknown,Gozd Martuljek to Srednji Vrh,117,121,adjacent-route-medium-high,route-adjacent video context,public YouTube,thumbnail plus video review candidate,Dirac,Route-adjacent climb footage candidate for final-section surface/grade context.,
YV035,Beautiful Slovenia - Belca Dovje Mojstrana Gozd Martuljek Kranjska Gora,https://www.youtube.com/watch?v=wuYMtSLbdVM,route-adjacent YouTube video,unknown,late valley corridor,103,124.5,adjacent-context-medium,route-adjacent scenic video context,public YouTube,thumbnail plus video review candidate,Dirac,Scenic/travel footage for the late valley corridor; not race-specific.,
YV036,Juliana Trail Stage 1: Kranjska Gora - Mojstrana,https://www.youtube.com/watch?v=YUJ2Q9QV1bA,route-adjacent YouTube video,unknown,Kranjska Gora / Gozd Martuljek / Mojstrana corridor,106,124.5,adjacent-context-medium,route-adjacent trail video context,public YouTube,thumbnail plus video review candidate,Dirac,"Different route/direction, but useful visual context for the same late valley corridor.",
YV037,My First 100K Ultra - Julian Alps 100K Ultramarathon,https://www.youtube.com/watch?v=HkshZ7gp43E,runner YouTube video,2025 inferred,100K overlap / back-half route,44,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,High-value 100K overlap film from YouTube metadata search; route overlap must be frame-audited before using as exact 120K proof.,
YV038,Po stopach zavodu Julian Alps Trail Run by UTMB 2025,https://www.youtube.com/watch?v=wRXRwEAZwrE,course-following YouTube video,2025,course reconnaissance / route-following context,0,124.5,adjacent-context-medium,route-following video context,public YouTube,thumbnail plus video review candidate,metadata search pass,Czech/Slovak title indicates following the Julian Alps Trail Run by UTMB course; treat as route-context until exact sections are frame-located.,
YV039,100km Julian Alps Ultratrail by UTMB,https://www.youtube.com/watch?v=qerMtKr9ao0,runner YouTube video,unknown,100K overlap / back-half route,44,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,100K race video candidate; overlap likely but current-120K exactness needs timestamp review.,
YV040,Julian Alps 80k 2025,https://www.youtube.com/watch?v=hxBWgFRXe2A,runner YouTube video,2025,80K overlap Bled to finish,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Additional 2025 80K overlap video; likely covers Bled-to-finish terrain shared with the 120K.,
YV041,Julian Alps 80km Ultratrail by UTMB 2025,https://www.youtube.com/watch?v=X1IJa7p1c-w,runner YouTube video,2025,80K overlap Bled to finish,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Additional 2025 80K overlap film; needs frame audit for exact section tagging.,
YV042,2025 Julian Alps by UTMB category 100K,https://www.youtube.com/watch?v=nxwWg__zTNY,runner YouTube video,2025,100K/80K overlap candidate,44,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,"Korean-titled 2025 race video surfaced in 100K query; title also mentions 80 km completion, so keep overlap confidence medium until reviewed.",
YV043,Julian Alps Trail run - Ultra Sky Trail 100,https://www.youtube.com/watch?v=NkszKBo229o,runner YouTube video,unknown,legacy 100K/Ultra Sky overlap,44,124.5,older-overlap,older runner race video,public YouTube,thumbnail plus video review candidate,metadata search pass,"Legacy Ultra Sky 100 video; useful broad terrain context, not current-route proof without timestamp and GPX comparison.",
YV044,Julian Alps trail run by UTMB 100k 2023 Larry Tesolin,https://www.youtube.com/watch?v=PrzpLxf3w_M,runner YouTube video,2023,older 100K overlap,44,124.5,older-overlap,older runner race video,public YouTube,thumbnail plus video review candidate,metadata search pass,Older 100K race video; retain for visual context while separating it from current 120K direct evidence.,
YV045,Julian Alps trail run 100k,https://www.youtube.com/watch?v=7MBrxKuhOyc,runner YouTube video,unknown,100K overlap candidate,44,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,100K race video candidate found by distance search; route/year need frame and metadata audit.,
YV046,Julian Alps Trail Run Lake Bled 80k 2025,https://www.youtube.com/watch?v=o_puZDL7fqs,runner YouTube video,2025,80K overlap Bled to finish,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Additional 2025 Lake Bled 80K film; high-value shared back-half source candidate.,
YV047,Cut off at Julian Alps 80K by UTMB 2025,https://www.youtube.com/watch?v=1km-fqP1le0,runner YouTube video,2025,partial 80K overlap / DNF,44,110,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,DNF/cutoff 80K film; valuable for covered sections but do not assume it reaches the final course.,
YV048,UTMB Julian Alps - Slovenia - Lake Bled 80k,https://www.youtube.com/watch?v=J2yx5zUmwA4,runner YouTube video,2025 inferred,80K overlap Bled to finish,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Additional Lake Bled 80K overlap video; year inferred from current search result clustering.,
YV049,Julian Alps Lake Bled 80k 2025,https://www.youtube.com/watch?v=0jQeQ4lsz_I,runner YouTube video,2025,80K overlap Bled to finish,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Short 2025 80K overlap candidate; useful even if only sparse race footage.,
YV050,Julian Alps 2025 - Marsupienii in Slovenia,https://www.youtube.com/watch?v=jcg3iZ2XtuI,runner YouTube video,2025,race-weekend overlap candidate,44,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Title is less distance-specific but surfaced inside the 80K query; keep as medium-confidence race-weekend visual candidate.,
YV051,Official 2025 trailer / UTMB World Series Slovenia,https://www.youtube.com/watch?v=NC-AS2Y2F80,official YouTube video,2025,promo/course scenic,0,124.5,promo-broad,official promo video context,public YouTube,thumbnail plus video review candidate,metadata search pass,Official 2025 promo clip found after the first pass; broad scenic/course context only.,
YV052,Julian Alps Trail Run by UTMB Sky Trail 50K,https://www.youtube.com/watch?v=Uiy-sQze5iU,runner YouTube video,2025 inferred,50K overlap Zirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Additional 50K overlap video; useful for the later mountain and finish sections if the route aligns.,
YV053,Julian Alps Sky Run 50K by UTMB 2025,https://www.youtube.com/watch?v=yokrVf1UMRE,runner YouTube video,2025,50K overlap Zirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Longer 2025 50K overlap candidate; needs timestamp localization.,
YV054,Julian Alps Trail Run UTMB Race 50K,https://www.youtube.com/watch?v=sgDfH-b2Yyg,runner YouTube video,unknown,50K overlap Zirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,50K race video candidate; route and year not yet verified.,
YV055,My experience running the beautiful Sky Trail 50K 2025,https://www.youtube.com/watch?v=XeUjdWxzdK0,runner YouTube video,2025,50K overlap Zirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,2025 50K experience video; likely contains on-course imagery but still needs frame review.,
YV056,Julian Alps 2025 50K,https://www.youtube.com/watch?v=qMIo49MvJ0M,runner YouTube video,2025,50K overlap Zirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Short 2025 50K overlap candidate from Italian/Slovenian search result cluster.,
YV057,Reportaz Julian Alps Trail Run by UTMB 60 km,https://www.youtube.com/watch?v=WBy6mpd81Y4,runner/media YouTube video,unknown,60K overlap Zirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner/media race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Czech report on the 60 km race; useful overlap candidate but not current 120K proof.,
YV058,Julian Alps Trail 2023 - 60km Run durch die Alpen,https://www.youtube.com/watch?v=nND7u6-a6TM,runner YouTube video,2023,older 60K overlap,60,124.5,older-overlap,older runner race video,public YouTube,thumbnail plus video review candidate,metadata search pass,German 2023 60K race video; retain as older overlap context.,
YV059,Julian Alps Trail Run 2022 - 60km,https://www.youtube.com/watch?v=7CRPxtLF6ds,runner YouTube video,2022,older 60K overlap,60,124.5,older-overlap,older runner race video,public YouTube,thumbnail plus video review candidate,metadata search pass,Older 60K overlap footage candidate.,
YV060,Julian Alps Trail Run 60km 3000+ UTMB Slovenia,https://www.youtube.com/watch?v=-H0xEwcb8CI,runner YouTube video,unknown,60K overlap Zirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail plus video review candidate,metadata search pass,Additional 60K overlap candidate surfaced in distance search.,
YV061,Julian Alps Trail Run 2022 - 60km,https://www.youtube.com/watch?v=5PchyNj4FPY,runner YouTube video,2022,older 60K overlap,60,124.5,older-overlap,older runner race video,public YouTube,thumbnail plus video review candidate,metadata search pass,Second older 60K candidate from distance search; not current-route proof.,
YV062,Julian Alps Trail Run by UTMB 2024 - na goraco - Relacja,https://www.youtube.com/watch?v=7972yemvkjE,runner YouTube video,2024,race report / possible course footage,0,124.5,direct-previous-year-distance,runner report video,public YouTube,thumbnail plus video review candidate,metadata search pass,Polish hot-take/report video found alongside the 120 km recap; may include course footage but visual value needs review.,
YV063,JATRail - trajna oznacitev trase v Kranjski Gori,https://www.youtube.com/watch?v=aBWhIczbfdg,official route-marking YouTube video,unknown,permanent course markings in Kranjska Gora,117,124.5,specific-section-medium,official route-marking video context,public YouTube,thumbnail plus video review candidate,metadata search pass,Official JATrail/permanent marking clip in Kranjska Gora; short but route-specific visual context for final-section marking/track.,
YV064,Alpe Adria Trail Stage 22 - Srednji Vrh,https://www.youtube.com/watch?v=G73hCxp3Gr0,route-adjacent YouTube video,unknown,Srednji Vrh / final mountain context,117,122.5,adjacent-context-medium,route-adjacent video context,public YouTube,thumbnail plus video review candidate,metadata search pass,Alpe Adria stage begins at Srednji Vrh; adjacent final-section terrain context only.,
YV065,Karavanke spust od Srednjeg vrha do Gozd Martuljka,https://www.youtube.com/watch?v=wsYwbtV2gi4,route-adjacent YouTube video,2011,Srednji Vrh to Gozd Martuljek descent,117,122.5,adjacent-route-medium-high,route-adjacent video context,public YouTube,thumbnail plus video review candidate,metadata search pass,"Older descent video between Srednji Vrh and Gozd Martuljek; potentially useful for route shape/footing context, but dated.",
YV066,Circular hiking trail from Planina pod Golico,https://www.youtube.com/watch?v=3PKpia_Co5M,route-adjacent YouTube video,unknown,Planina pod Golico / Golica context,88,91.5,adjacent-context-medium,route-adjacent video context,public YouTube,thumbnail plus video review candidate,metadata search pass,Golica-area hiking film; adjacent same-mountain context near Sedlo Suha/Golica.,
YV067,Od Golice do Stola 1,https://www.youtube.com/watch?v=hjwyIlYrXIw,route-adjacent YouTube video,unknown,Golica to Stol ridge context,77.4,91.5,adjacent-route-medium-high,route-adjacent video context,public YouTube,thumbnail plus video review candidate,metadata search pass,"Directly names Golica-to-Stol terrain, which is highly relevant to the ridge corridor; needs frame-to-GPX localization.",
YV068,Golica / Kahlkogel Slovenia Austria,https://www.youtube.com/watch?v=6MMdsnSQXWQ,route-adjacent YouTube video,2012,Golica / Karawanks context,88,91.5,adjacent-context-medium,route-adjacent video context,public YouTube,thumbnail plus video review candidate,metadata search pass,Older Golica-area video; retain as low-priority visual context for the ridge environment.,
YV069,Julian Alps Trail Run 2025 - 80 km biegowego ultra,https://www.youtube.com/watch?v=4VExt5tSGJ4,runner YouTube video,2025,80K overlap Bled to Kranjska Gora,44,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Polish 80 km race VLOG found by adversarial video search; high-value shared back-half source candidate.,
YV070,Julian Alps Trail Run by UTMB 2025,https://www.youtube.com/watch?v=3yCtLeV8fYM,runner YouTube video,2025,"event-wide race footage, distance unclear",0,124.5,race-media-context,runner race video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,"Distance unclear from title, so retain as event-wide visual candidate until frame-audited.",
YV071,Trail Running in the Slovenian Alps - representing Germany at Julian Alps Trail Run,https://www.youtube.com/watch?v=_yg87Lyprgo,runner YouTube video,unknown,"JAT race footage, distance unclear",0,124.5,race-media-context,runner race video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Race footage candidate with unclear distance; do not treat as current 120K proof until reviewed.,
YV072,4th at the UTMB Julian Alps 50km,https://www.youtube.com/watch?v=o5t8s9kmxww,runner YouTube video,2025 inferred,50K overlap Zirovnica/Karawanks/KG,60,124.5,overlap-route-medium,direct runner race video on overlapping course,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Short-style 50K race video; likely sparse but relevant to later-route overlap.,
YV073,The Ultimate Trail Running Adventure in Slovenia - Julian Alps Trail Run 2023,https://www.youtube.com/watch?v=IUnnveaId2w,official YouTube video,2023,older official/event-wide,0,124.5,older-broad,official race video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Older official/event-wide video; broad visual context only unless frame-localized.,
YV074,Juliana Trail - Etapa 2: Mojstrana - Jesenice,https://www.youtube.com/watch?v=GxMWZ4WR2w4,route-adjacent YouTube video,unknown,Mojstrana to Jesenice / Dovje-Mojstrana adjacent,103,109,adjacent-route-medium-high,route-adjacent trail video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Juliana Trail stage near Mojstrana/Jesenice; route-adjacent context for the Dovje/Mojstrana transition.,
YV075,Gozd Martuljek 4K walk,https://www.youtube.com/watch?v=R3GIsY7r5Dw,route-adjacent YouTube video,unknown,Gozd Martuljek village/corridor,117,119,same-location-medium-high,local walk video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,"4K walk in Gozd Martuljek; high-value same-place visual context for the final corridor, not race footage.",
YV076,Gozd Martuljek - Kranjska Gora,https://www.youtube.com/watch?v=gmAlYEGo_Ek,route-adjacent YouTube video,unknown,Gozd Martuljek to Kranjska Gora road/corridor,117,124.5,adjacent-route-medium-high,route-adjacent road video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Public driving/corridor video from Gozd Martuljek to Kranjska Gora; useful final-road context only.,
YV077,Kamp Spik Gozd Martuljek drone footage,https://www.youtube.com/watch?v=nPYwNk8XD6c,route-adjacent YouTube video,unknown,Hotel Spik / Gozd Martuljek,116.5,117.5,same-location-medium,local drone video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Drone footage around Kamp/Hotel Spik; useful local anchor but not surface-level trail proof.,
YV078,Hiking in Zirovnica - Visit Zirovnica,https://www.youtube.com/watch?v=iWZIZ0QXfbk,local tourism YouTube video,unknown,Zirovnica / Zavrsnica / Stol context,58,77,same-location-medium-high,local tourism video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Local tourism hiking video; supports Zirovnica/Zavrsnica/Stol visual context.,
YV079,Juliana Trail - Visit Zirovnica,https://www.youtube.com/watch?v=jQaBwR1Hj08,local tourism YouTube video,unknown,Bled-Zirovnica / Juliana context,46,60,same-route-medium-high,local tourism route video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Visit Zirovnica Juliana Trail video; likely useful for the Bled-Zirovnica corridor but needs frame-to-route localization.,
YV080,Valvasorjev dom pod Stolom - Visit Zirovnica,https://www.youtube.com/watch?v=IMIhFFOIVDc,local tourism YouTube video,unknown,Valvasor / Stol approach,60,77,same-location-high,local tourism video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Valvasor/Stol approach context from local tourism source.,
YV081,Stol Hochstuhl Trail in the Alps - Terrain Video,https://www.youtube.com/watch?v=DWmj8OBxu7M,route-adjacent YouTube video,unknown,Stol terrain,72,78,same-location-medium-high,route-adjacent terrain video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,"Stol terrain video; strong same-mountain context, exact GPX tie needs review.",
YV082,Stol 2236 m od Valvasorjevega doma,https://www.youtube.com/watch?v=3cRbr87GCEo,route-adjacent YouTube video,unknown,Valvasor to Stol,60,78,same-route-medium-high,route-adjacent hiking video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,"Valvasor-to-Stol hiking video likely overlaps the race approach, pending frame localization.",
YV083,"Hiking Slovenia's Julian Alps - Mt Golica, Stol and Roman ruins",https://www.youtube.com/watch?v=GQJpigOmNUU,route-adjacent YouTube video,unknown,Stol/Golica context,76,91,adjacent-route-medium-high,route-adjacent hiking video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,4K Stol/Golica adjacent route context; useful ridge environment evidence but not direct race proof.,
YV084,"Karavanke 3 dni - Stol, Golica, Mojstrana",https://www.youtube.com/watch?v=bukjHe6hC-o,route-adjacent YouTube video,unknown,Karavanks ridge to Mojstrana context,76,106,adjacent-context-medium,route-adjacent hiking video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Broad multi-day Karavanks footage covering named route zones; frame localization required.,
YV085,Karavanke 4K Rosenbach to Planinska koca na Golici,https://www.youtube.com/watch?v=L9gRIY2_myA,route-adjacent YouTube video,unknown,Golica hut/ridge context,88,91,adjacent-context-medium,route-adjacent hiking video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,"Golica hut/ridge context; route-adjacent, not direct race-line proof.",
YV086,Milijoni narcis na Golici,https://www.youtube.com/watch?v=hf7UsjpAOz8,route-adjacent YouTube video,unknown,Golica loop context,88,91,adjacent-context-medium,route-adjacent hiking video context,public YouTube,thumbnail/autostill plus video review candidate,Faraday,Golica loop hiking context; useful same-mountain visual evidence only.,
YV087,JULIAN ALPS TRAIL RUN 2025,https://www.youtube.com/watch?v=O5SnqlX9r8E,runner YouTube video,2025,current race / distance unclear,0,124.5,direct-current-race-broad,direct runner race video,public YouTube,thumbnail/autostill plus video review candidate,Copernicus,Generic 2025 JAT title surfaced in adversarial search; distance and section localization require frame audit.,
YV088,Julian Alps Trail Run 2025 - sky trail 52km,https://www.youtube.com/watch?v=_Z94zaA4G8M,runner YouTube video,2025,Sky Trail / Zirovnica to Kranjska Gora overlap,60,124.5,overlap-route-high,direct runner race video on overlapping course,public YouTube,thumbnail/autostill plus video review candidate,Copernicus,52 km variant title was missed by 50K-only searches; likely overlaps the shared back-half route.,
YV089,running the UTMB julian alps trail in Slovenia {72},https://www.youtube.com/watch?v=FZv9pd6R7Wo,runner YouTube video,unknown,"race/event-wide, distance unclear",0,124.5,race-media-context,direct runner race video,public YouTube,thumbnail/autostill plus video review candidate,Copernicus,Vlog title omits the standard race name/distance ordering; keep as broad race context until frame audited.,
